"game_title","publisher","platform","release_year","global_sales","year","market_share_pct","publisher_global_sales","game_count","avg_sales_per_game"
"Wii Sports","Nintendo","Wii",2006,82.74,2006,37.3890067225078,208.01,61,3.41
"Super Mario Bros.","Nintendo","NES",1985,40.24,1985,92.7136596055515,50.77,8,6.34625
"Mario Kart Wii","Nintendo","Wii",2008,35.82,2008,12.4731644482611,92.96,35,2.656
"Wii Sports Resort","Nintendo","Wii",2009,33,2009,18.4264866887481,132.96,39,3.40923076923077
"Pokemon Red/Pokemon Blue","Nintendo","GB",1996,31.37,1996,33.8237303575495,74.26,20,3.713
"Tetris","Nintendo","GB",1989,30.26,1989,83.2095870782858,63.88,9,7.09777777777778
"New Super Mario Bros.","Nintendo","DS",2006,30.01,2006,37.3890067225078,208.01,61,3.41
"Wii Play","Nintendo","Wii",2006,29.02,2006,37.3890067225078,208.01,61,3.41
"New Super Mario Bros. Wii","Nintendo","Wii",2009,28.62,2009,18.4264866887481,132.96,39,3.40923076923077
"Duck Hunt","Nintendo","NES",1984,28.31,1984,83.9815668202765,45.56,9,5.06222222222222
"Nintendogs","Nintendo","DS",2005,24.76,2005,25.98795818706,132.51,52,2.54826923076923
"Mario Kart DS","Nintendo","DS",2005,23.42,2005,25.98795818706,132.51,52,2.54826923076923
"Pokemon Gold/Pokemon Silver","Nintendo","GB",1999,23.1,1999,21.0622475799731,65.71,21,3.12904761904762
"Wii Fit","Nintendo","Wii",2007,22.72,2007,16.2248551626635,105.58,48,2.19958333333333
"Wii Fit Plus","Nintendo","Wii",2009,22,2009,18.4264866887481,132.96,39,3.40923076923077
"Kinect Adventures!","Microsoft Game Studios","X360",2010,21.82,2010,7.52615798812947,49.2,13,3.78461538461538
"Grand Theft Auto V","Take-Two Interactive","PS3",2013,21.4,2013,12.9842465074804,52.42,17,3.08352941176471
"Grand Theft Auto: San Andreas","Take-Two Interactive","PS2",2004,20.81,2004,5.43532170070788,24.11,12,2.00916666666667
"Super Mario World","Nintendo","SNES",1990,20.61,1990,66.5479092443278,35.49,7,5.07
"Brain Age: Train Your Brain in Minutes a Day","Nintendo","DS",2005,20.22,2005,25.98795818706,132.51,52,2.54826923076923
"Pokemon Diamond/Pokemon Pearl","Nintendo","DS",2006,18.36,2006,37.3890067225078,208.01,61,3.41
"Super Mario Land","Nintendo","GB",1989,18.14,1989,83.2095870782858,63.88,9,7.09777777777778
"Super Mario Bros. 3","Nintendo","NES",1988,17.28,1988,68.2013849897062,36.44,6,6.07333333333333
