publisher,year,publisher_global_sales,game_count,avg_sales_per_game,platform_count,genre_count,year_total_sales,market_share_pct,publisher_rank_in_year
10TACLE Studios,2002,0.36,1,0.36,1,1,423.5200000000001,0.0850018889308651,57
10TACLE Studios,2006,0.02,1,0.02,1,1,556.3399999999995,0.0035949239673580937,111
10TACLE Studios,2007,0.09,2,0.045,1,2,650.7300000000002,0.013830620994882664,110
11 bit studios,2016,0.01,1,0.01,1,1,175.41000000000005,0.0057009292514679875,107
1C Company,2009,0.02,2,0.01,1,2,721.5699999999994,0.002771733858114946,163
1C Company,2011,0.09,2,0.045,1,2,575.0399999999997,0.01565108514190318,106
20th Century Fox Video Games,1981,1.35,3,0.45,1,2,43.11000000000001,3.13152400835073,7
20th Century Fox Video Games,1982,1.9400000000000002,5,0.388,1,2,56.570000000000014,3.429379529786105,7
20th Century Fox Video Games,1983,0.5900000000000001,2,0.29500000000000004,1,1,37.529999999999994,1.5720756727950977,7
2D Boy,2008,0.04,1,0.04,1,1,745.2800000000001,0.00536711034778875,148
2K Games,2005,0.44999999999999996,3,0.15,2,1,509.8899999999998,0.0882543293651572,46
2K Games,2006,0.01,1,0.01,1,1,556.3399999999995,0.0017974619836790468,125
2K Games,2010,0.060000000000000005,3,0.02,3,1,653.7199999999998,0.009178241448938388,121
2K Games,2011,0.01,1,0.01,1,1,575.0399999999997,0.0017390094602114643,142
2K Games,2012,0.06,1,0.06,1,1,425.9499999999997,0.014086160347458632,81
2K Games,2013,3.06,1,3.06,1,1,403.7200000000002,0.7579510551867628,20
2K Games,2015,0.31,1,0.31,1,1,287.9499999999999,0.1076575794408752,47
2K Games,2016,8.220000000000002,9,0.9133333333333332,5,4,175.41000000000005,4.686163844706687,7
2K Games,2018,1.1,10,0.11,3,4,147.96000000000004,0.7434441741011083,21
2K Play,2008,0.46,1,0.46,1,1,745.2800000000001,0.061721768999570624,69
2K Sports,2005,0.25,1,0.25,1,1,509.8899999999998,0.0490301829806429,55
2K Sports,2006,0.13,2,0.065,2,1,556.3399999999995,0.02336700578782761,70
