publisher,year,publisher_global_sales,game_count,avg_sales_per_game,platform_count,genre_count,source_url,year_total_sales,market_share_pct,publisher_rank_in_year
10TACLE Studios,2002,0.36,1,0.36,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,423.52,0.08500188893086513,57
10TACLE Studios,2006,0.02,1,0.02,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,556.34,0.00359492396735809,111
10TACLE Studios,2007,0.09,2,0.045,1,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,650.73,0.01383062099488267,109
11 bit studios,2016,0.01,1,0.01,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,175.41,0.005700929251467989,107
1C Company,2009,0.02,2,0.01,1,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,721.57,0.0027717338581149434,163
1C Company,2011,0.09,2,0.045,1,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,575.04,0.015651085141903172,105
20th Century Fox Video Games,1981,1.35,3,0.45,1,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,43.11,3.1315240083507305,7
20th Century Fox Video Games,1982,1.9400000000000002,5,0.388,1,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,56.57,3.429379529786106,7
20th Century Fox Video Games,1983,0.5900000000000001,2,0.29500000000000004,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,37.53,1.5720756727950973,7
2D Boy,2008,0.04,1,0.04,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,745.28,0.0053671103477887505,148
2K Games,2005,0.45,3,0.15,2,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,509.89,0.08825432936515719,46
2K Games,2006,0.01,1,0.01,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,556.34,0.001797461983679045,125
2K Games,2010,0.06,3,0.02,3,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,653.72,0.009178241448938383,122
2K Games,2011,0.01,1,0.01,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,575.04,0.0017390094602114637,142
2K Games,2012,0.06,1,0.06,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,425.95,0.014086160347458623,81
2K Games,2013,3.06,1,3.06,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,403.71999999999997,0.7579510551867632,20
2K Games,2015,0.31,1,0.31,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,287.95,0.10765757944087516,47
2K Games,2016,8.22,9,0.9133333333333333,5,4,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,175.41,4.686163844706688,7
2K Games,2018,1.1,10,0.11,3,4,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,147.96,0.7434441741011084,20
2K Play,2008,0.46,1,0.46,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,745.28,0.06172176899957063,69
2K Sports,2005,0.25,1,0.25,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,509.89,0.049030182980642885,55
2K Sports,2006,0.13,2,0.065,2,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,556.34,0.023367005787827588,70
2K Sports,2008,0.03,1,0.03,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,745.28,0.004025332760841563,161
2K Sports,2009,0.01,1,0.01,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,721.57,0.0013858669290574717,178
2K Sports,2011,0.39,3,0.13,3,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,575.04,0.06782136894824708,69
2K Sports,2012,0.01,1,0.01,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,425.95,0.0023476933912431035,111
2K Sports,2016,0.03,1,0.03,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,175.41,0.017102787754403968,86
2K Sports,2017,8.21,8,1.02625,5,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,191.92,4.27782409337224,7
2K Sports,2018,6.13,5,1.226,3,2,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,147.96,4.143011624763449,6
3 O'Clock,2007,0.03,1,0.03,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,650.73,0.004610206998294224,133
3DO,1998,0.4,2,0.2,2,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,291.61,0.13716950721854532,46
3DO,1999,4.140000000000001,6,0.6900000000000001,2,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,311.98,1.3270081415475352,17
3DO,2000,3.89,12,0.32416666666666666,3,6,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,239.17,1.6264581678304135,18
3DO,2001,1.56,12,0.13,2,6,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,356.8,0.437219730941704,29
3DO,2002,0.6,4,0.15,1,4,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,423.52,0.14166981488477523,45
3DO,2003,0.45,3,0.15,3,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,404.31,0.11130073458484827,57
49Games,2009,0.04,1,0.04,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,721.57,0.005543467716229887,145
505 Games,2002,0.29,1,0.29,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,423.52,0.06847374386097468,61
505 Games,2003,0.1,1,0.1,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,404.31,0.024733496574410724,77
505 Games,2004,0.89,10,0.089,3,6,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,443.58,0.2006402452770639,37
505 Games,2005,1.27,13,0.09769230769230769,3,5,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,509.89,0.24907332954166586,30
505 Games,2006,7.51,23,0.32652173913043475,5,6,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,556.34,1.349893949742963,14
505 Games,2007,10.44,29,0.36,5,9,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,650.73,1.6043520354063896,16
